DST,MOPH
,"Insulin Human 100IU/ml
(30%
 dissolved Insulin & 70% Crystalline
 Protamine Insulin)  "
,"Glimepiride 1mg
Metformin
 HCl 500mg  "
,Ceritinib free base 150mg
,"Hydrocortisone 17- Butyrate
 1 mg/gm (0.1%)  "
,Palbociclib 75mg
,Palbociclib 100mg
,Palbociclib 125mg
,"Pioglitazone HCl equivalent
 to Pioglitazone 15mg  "
,"Pioglitazone HCl equivalent
 to Pioglitazone 30mg  "
,Valsartan 160mg
,"Brentuximab Vedotin 50mg
 "
,Nivolumab 10mg/ml
,Nivolumab 10mg/ml
,"Diclofenac Potassium 50mg
  "
,Carfilzomib60 mg
,Irbesartan 300mg
,Lacosamide 10mg/ml
,Valsartan 80mg
,"Meropenem Trihydrate 570mg
 equivalent to Meropenem 500mg
  "
,"Meropenem Trihydrate 1140mg
 equivalent to Meropenem 1000mg
  "
,"Insulin degludec 100 IU/ml
  "
,"Insulin degludec 100 IU/ml
  "
,"Insulin degludec 200 IU/ml
  "
,"62.5 micrograms umeclidinium
 + 25 micrograms vilanterol
 (as trifenatate)  "
,Valsartan 80mg
,Valsartan 160mg
,Valsartan 320mg
,Sodium Chloride 3% w/v
,"Metronidazole  0.5% w/v
  "
,"Each 1ml contains Potassium
 Chloride 74.55 mg  (1 mEq/ml)
   "
,"Each 1ml contains Potassium
 Chloride 74.55 mg  (1 mEq/ml)
   "
,"Each 1ml contains Potassium
 Chloride 149 mg  (2 mEq/ml)

  "
,"Each 1ml contains Potassium
 Chloride 149 mg  (2 mEq/ml)

  "
,"Calcium Chloride 10 % w/v
  "
,"Calcium Chloride 10 % w/v
  "
,"Dextrose monohydrate USP 50%
 w/v eq. to Glucose anhydrous
 USP 45.455%  "
,Desloratadine 5 mg
,"Atorvastatin 10 mg (as Atorvastatin
 calcium)  "
,"Atorvastatin 20 mg (as Atorvastatin
 calcium)  "
,"Atorvastatin 40 mg (as Atorvastatin
 calcium)  "
,"Atorvastatin 80 mg (as Atorvastatin
 calcium)  "
,"Alogliptin benzoate 17mg equivalent
 to 12.5mg Alogliptin free
 base  "
,"Alogliptin benzoate 34mg equivalent
 to 25mg Alogliptin free base
  "
,"Alogliptin 12.5mg (as 17mg
 Alogliptin benzoate)
 + Metformin
 Hydrochloride 500mg  "
,"Alogliptin 12.5mg (as 17mg
 Alogliptin benzoate)
 + Metformin
 Hydrochloride 1000mg  "
,"Cloxacillin Sodium equivalent
 to Cloxacillin 250mg  "
,"Cloxacillin Sodium equivalent
 to Cloxacillin 500mg  "
,Vedolizumab 300mg
,Ramucirumab 100mg/10ml
,Ramucirumab 500mg/50ml
,Febuxostat 80 mg
,Febuxostat 120 mg
,"Palivizumab  100 mg / ml
  "
,"Palivizumab  50 mg / 0.5 ml
  "
,Aglasidase beta 35 mg
,Aglasidase beta 5 mg
,"Pitavastatin calcium 2.09
 mg eq. to pitavastatin 2
 mg  "
,"Pitavastatin calcium 4.18
 mg eq. to pitavastatin 4
 mg  "
,Evolocumab 140 mg/ml
,Evolocumab 140 mg/ml
,"Each metered dose (actuation)
 contains:
50 mcg Fluticasone
 Propionate
+ 5 mcg Formoterol
 Fumarate Dihydrate  "
,"Each metered dose (actuation)
 contains:
125 mcg Fluticasone
 Propionate
+ 5 mcg Formoterol
 Fumarate Dihydrate  "
,"Each metered dose (actuation)
 contains:
250 mcg Fluticasone
 Propionate
+ 10 mcg Formoterol
 Fumarate Dihydrate  "
,"Fluticasone Propionate 50mcg
 / actuation  "
,Empagliflozin 10 mg
,Empagliflozin 25 mg
,"Ketrolac tromethamine0.45%
  "
,"Levofloxacin500 mg Levofloxacin
 hemihydrate  512.5 mg equivalent
 to 500 mg  Levofloxacin "
,"Levofloxacin hemihydrate
 512.5 mg equivalent to 500
 mg  Levofloxacin  "
,"Levofloxacin hemihydrate
 512.5 mg equivalent to 500
 mg  Levofloxacin  "
,Risperidone 1mg
,Risperidone 2mg
,Risperidone 3mg
,Risperidone 4mg
,"Each one liter of concentrated
 solution contains :
Active
 ingredients:
- Sodium Chloride
 210.71225 gm
- Calcium Chloride.2H2O
 9.00375 gm
- Mg Chloride.6H2O
 3.55775 gm
- Acetic acid
 6.2475 gm
- Anhydrous Glucose
 35 gm (eq. to dextrose monohydrate
 38.5 gm)
 Inactive ingredients:

- Water for Injection to
 1000 ml

Each one liter of
 diluted solution contains
 (dilution ratio 1:34) :
-
 Na++ 103 mmol/L
- Ca++ 1.75
 mmol/L
- Mg++ 0.5 mmol/L

- Cl- 107.5 mmol/L
- Acetate
 2.97 mmol/L
- Dextrose monohydrate
 1.1 gm/L (eq. to anhydrous
 glucose 1 gm)
- Osmolarity
 221 mOsm/L  "
,"Each one liter of concentrated
 solution contains :
Active
 ingredients:
- Sodium Chloride
 210.71225 gm
- Calcium Chloride.2H2O
 7.7175 gm
- Mg Chloride.6H2O
 3.55775 gm
- Acetic acid
 6.2475 gm
- Anhydrous Glucose
 35 gm (eq. to dextrose monohydrate
 38.5 gm)
 Inactive ingredients:

- Water for Injection to
 1000 ml

Each one liter of
 diluted solution contains
 (dilution ratio 1:34) :
-
 Na++ 103 mmol/L
- Ca++ 1.5
 mmol/L
- Mg++ 0.5 mmol/L

- Cl- 107 mmol/L
- Acetate
 2.97 mmol/L
- Dextrose monohydrate
 1.1 gm/L (eq. to anhydrous
 glucose 1 gm)
- Osmolarity
 221 mOsm/L  "
,"Each one liter of concentrated
 solution contains :
Active
 ingredients:
- Sodium Chloride
 210.71225 gm
- Potassium
 Chloride 5.222 gm
- Calcium
 Chloride.2H2O 6.43125 gm

- Mg Chloride.6H2O 3.55775
 gm
- Acetic acid 6.3105 gm

 Inactive ingredients:
-
 Water for Injection to 1000
 ml

Each one liter of diluted
 solution contains (dilution
 ratio 1:34) :
- Na++ 103
 mmol/L
- Ca++ 1.25 mmol/L

- K+ 2 mmol/L
- Mg++ 0.5
 mmol/L
- Cl- 108.5 mmol/L

- Acetate 3 mmol/L
- Osmolarity
 218 mOsm/L  "
,"Each one liter of concentrated
 solution contains :
Active
 ingredients:
- Sodium Chloride
 210.71225 gm
- Potassium
 Chloride 5.222 gm
- Calcium
 Chloride.2H2O 5.145 gm
-
 Mg Chloride.6H2O 3.55775
 gm
- Acetic acid 6.2475 gm

- Anhydrous Glucose 35 gm
 (eq. to dextrose monohydrate
 38.5 gm)
 Inactive ingredients:

- Water for Injection to
 1000 ml

Each one liter of
 diluted solution contains
 (dilution ratio 1:34) :
-
 Na++ 103 mmol/L
- Ca++ 1
 mmol/L
- K+ 2 mmol/L
- Mg++
 0.5 mmol/L
- Cl- 108 mmol/L

- Acetate 2.97 mmol/L
- Dextrose
 monohydrate 1.1 gm/L (eq.
 to anhydrous glucose 1 gm)

- Osmolarity 223 mOsm/L
 "
,"Meropenem Trihydrate570.4
 mg 500 mg  "
,"Meropenem Trihydrate 1140.8
 mg  1000 mg  "
,"Metformin Hydrochloride1 gm
  "
,"Cetrorelix Acetate 0.26 mg-
 0.27 mg  0.25 mg Cetrorelix
 (base) "
,"Imiglucerase400 I.U Equivalency
 "
,"Each 100 ml solutions contains
 Ciprofloxacin (as lactate)
 200 mg + Sodium Chloride
 900 mg  "
,"Atezolizumab 1200 mg/20 ml
 (60 mg/1 ml)  "
,"Paroxetine20mg 23.3mg Paroxetine
 Hydrochloride "
,"Metformin hydrochloride500
 mg  Dapagliflozin 5 mg  "
,"Metformin hydrochloride1000
 mg   Dapagliflozin5 mg
 "
,"Dapagliflozin10 mg   Metformin
 hydrochloride500 mg   "
,"Dapagliflozin10 mg    Metformin
 hydrochloride1000 mg   "
,"Vitamin D3 Cholecalciferol
 2000 IU/ 5 drops  "
,"Sugammadex Sodium Salt108.8
 mg  100 mg Sugammadex  "
,"Buprenorphine5 mg/ patch
 "
,Buprenorphine10 mcg/hr
,Buprenorphine20 mg
,"Sodium Valproate 200mg/5ml
  "
,Rabeprazole Sodium 20mg
,Rabeprazole Sodium 20mg
,"Montelukast 4mg  (as sodium
 )  "
,Macitentan10mg
,Belimumab120mg
,Belimumab400mg
,"Formoterol Fumarate dihydrate
 11.8 mcg  Aclidinium bromide396
 mcg Aclidinium bromide 396
 mcg eq. to 340 mcg of Aclidinium
 "
,"Aclidinium322mcg Aclidinium
 bromide 375µg equivalent
 to 322µg Aclidinium "
,"Turoctocog Alfa250 IU eq.
 to Turoctocog alfa 62.5 IU/ml
 "
,"Turoctocog Alfa500 IU eq.
 to Turoctocog alfa 125 IU/ml
 "
,"Turoctocog Alfa1000 IU eq.
 to Turoctocog alfa 250 IU/ml
 "
,"Turoctocog Alfa1500 IU eq.
 to Turoctocog alfa 375 IU/ml
 "
,"Turoctocog Alfa 2000 IU eq.
 to Turoctocog alfa 500 IU/ml
 "
,"Turoctocog Alfa3000 IU eq.
 to Turoctocog alfa 750 IU/ml
 "
,Celecoxib200 mg
,Celecoxib200 mg
,Celecoxib200 mg
,"Calcium Polystyrene Sulphonate93.5%
 W/W  "
,"Drospirenone 3 mg  Ethinylestradiol
 0.03 mg  "
,"Palonosetron (as HCL)0.25mg/5ml
  "
,"Each 1ml contains:
Sodium
 Chloride 146.1mg  (7.305g
 Sodium Chloride /50 mL)
 "
,"Each 1ml contains:
Sodium
 Chloride 234mg  (11.7g/50ml)
  "
,Tadalafil5 mg
,Tadalafil 20 mg
,Tadalafil 20 mg
,"Rosuvastatin (as calcium)10
 mg  "
,"Rosuvastatin (as calcium)20
 mg  "
,"Rosuvastatin (as calcium)40
 mg  "
,Indapamide1.5 mg
,"Amlpdipine Besilate 5mg Amlodipine
 "
,"Amlodipine besilate 13.87mg
 equivalent to Amlodipine
 10mg  "
,"Each Vial with powder contains:

Highly purified menotrophin
 (human menopausal gonadotrophin,
 HMG) corresponding to 600IU
 human follicle stimulating
 hormone (FSH) and 600IU human
 luteinising hormone (LH)
 activity.  "
,"Each Vial with powder contains:

Highly purified menotrophin
 (human menopausal gonadotrophin,
 HMG) corresponding to 1200IU
 human follicle stimulating
 hormone (FSH) and 1200IU
 human luteinising hormone
 (LH) activity.  "
,"Each metered dose contains
 Mometasone Furoate 0.05 mg
 (as monohydrate)  "
,"Each 1 ml solution contains
 (Insulin Degludec 420 nmol
 70% + Insulin aspart 180
 nmol 30%) 100 IU  "
,"Each 1 ml solution contains
 (Insulin Degludec 420 nmol
 70% + Insulin aspart 180
 nmol 30%) 100 IU  "
,Liraglutide 6 mg/ml
,Loratadine USP10 mg
,"Levodopa20 mg/ml  Carbidopa
 monohydrate5mg/ml  "
,Alirocumab 75 mg/1 ml
,Alirocumab 150 mg/1 ml
,"Netupitant 300 mg
Palonosetron
 (as HCL) 0.5 mg  "
,"Amoxacillin 875 mg (as trihydrate)

Clavulanic acid 125 mg (as
 potassium clavulanate)  "
,"Ezetimibe 10 mg
Atorvastatin
 10 mg (as Atorvastatin calcium
 trihydrate)  "
,"Ezetimibe 10 mg
Atorvastatin
 20 mg (as Atorvastatin calcium
 trihydrate)  "
,"Ezetimibe 10 mg
Atorvastatin
 40 mg (as Atorvastatin calcium
 trihydrate)  "
,"Ezetimibe 10 mg
Atorvastatin
 80 mg (as Atorvastatin calcium
 trihydrate)  "
,"Bisoprolol fumarate 5 mg
 "
,"Bisoprolol fumarate 10 mg
  "
,"Ixekizumab 80mg / pre-filled
 auto-injector  "
,"Each 5ml suspension contains:
 Cefdinir 125mg  "
,"Each 5ml suspension contains:
 Cefdinir 125mg  "
,"Azithromycin (as dihydrate)
 40mg/ml  "
,"Azithromycin (as dihydrate)
 40mg/ml  "
,"Azithromycin (as dihydrate)
 40mg/ml  "
,"Atorvastatin 10 mg (as calcium)
  "
,"Atorvastatin 20 mg (as calcium)
  "
,"Atorvastatin 40 mg (as calcium)
  "
,"Moxifloxacin HCl 436.8 mg
 eq. to Moxifloxacin 400 mg
  "
,"Moxifloxacin HCl 436.8 mg
 eq. to Moxifloxacin 400 mg
  "
,"Imipenem anhydrous 500 mg
  Cilastatin 500 mg  "
,Ceftriaxone sodium 1 g
,"Ceftriaxone sodium 500 mg
  "
,"Cefuroxime sodium eq. to 750
 mg Cefuroxime  "
,"Cefuroxime sodium eq. to 1500
 mg Cefuroxime  "
,Cefdinir 300 mg
,"Desvenlafaxine 100 mg (as
 succinate)  "
,Clopidogrel 75 mg
,Esomeprazole Magnesium eq. to Esomeprazole 20mg
,Esomeprazole Magnesium eq. to Esomeprazole 40mg
,"Alogliptin 25mg
Pioglitazone
 15 mg  "
,"Alogliptin 25mg
Pioglitazone
 45 mg  "
,"Alogliptin 25mg
Pioglitazone 30 mg  "
,Oxycodone 1 mg/ml
,"Each dose Contains:
Tetanus
 Toxoid ?5 Lf (?  40 IU) Adsorbed
 on Aluminium phosphate, Al+++
 ? 1.25mg + Preservative 0.01%
 Thiomersal  "
,"Each dose Contains:
Diphtheria
 Toxoid ? 5 Lf (?  2IU) +
 Tetanus Toxoid ? 5 Lf (?
  40 IU) Adsorbed on Aluminium
 phosphate, Al+++ ? 1.25mg
 + Preservative 0.01% Thiomersal
  "
,"Each dose Contains:
Diphtheria
 Toxoid ? 5 Lf (?  2IU) +
 Tetanus Toxoid ? 5 Lf (?
  40 IU) Adsorbed on Aluminium
 phosphate, Al+++ ? 1.25mg
 + Preservative 0.01% Thiomersal
  "
,"Each dose contains:
Diphtheria
 Toxoid ? 5 Lf (? 2 IU) Tetanus
 Toxoid ? 5 Lf (? 40 IU) Adsorbed
 on Aluminium phosphate, Al+++
 ? 1.25mg + Preservative 0.01%
 Thiomersal.  "
,"Purified Hepatitis B surface
 antigen absorbed on aluminium
 hydroxide 20mcg  "
,"Purified Hepatitis B surface
 antigen absorbed on aluminium
 hydroxide 10mcg  "
,"Purified Hepatitis B surface
 antigen absorbed on aluminium
 hydroxide 10mcg  "
,"Purified Hepatitis B surface
 antigen absorbed on aluminium
 hydroxide 10mcg  "
,"Measles Virus Not less than
 1000 CCID50 / dose ""0.5ml""
  "
,"Measles Virus Not less than
 1000 CCID50 / dose ""0.5ml""000
 CCID50 / dose ""0.5ml""  "
,"Each Single dose when reconstituted
 in a volume of 0.5ml  contains
 not less than :  1000 CCID50
 of Measles Virus + 1000 CCID50
 of Mumps Virus + 1000 CCID50
 of Rubella Virus.  "
,"Tetanus Toxoid ?5 Lf (? 40
 IU) Adsorbed on Aluminium
 phosphate, Al+++ ? 1.25mg
 + Preservative 0.01% Thiomersal
  "
,"Live attenuated BCG Vaccine
 (Bacillus Calmette Guerin)

Each 0.1ml Contains between
 : 2x105 and 8 x 105 C.F.U
 Reconstitute with Sodium
 Chloride Injection (0.9%
 W/V)  "
,"Each dose contains :
Diphtheria
 toxoid  ? 25 Lf (? 30 IU)
 + Tetanus Toxoid  ? 5 Lf
 (? 40 IU) +
B. Pertussis
   ? 16 OU (? 4 IU) + Purified
 Capsular Poly Sacharides
 (PRP) 10mcg + Tetanus Toxoid
    (Carrier Protein) 19 to
 33mcg.  Adsorbed on Aluminum
 Phosphate , Al+++ ? 1.25mcg
  + Preservative Thiomersal
 0.01%    "
,"Each dose of 0.5ml contains
 :
Purified Capsular Polysaccharides
 (PRP) 10mcg + tetanus toxoid

 (Carrier protein) 19 to
 33mcg + Reconstituted with
 diluent for Haemophilus Influenzae
 Type B Conjugate Vaccine.
     "
,Valsartan80 mg
,Valsartan160 mg
,Glimepride USP 1mg
,Glimepride USP 2mg
,Glimepride USP 4mg
,"Amlodipine besylate 6.93mg
 (eq. to Amlodipine base 5mg)
  "
,"Amlodipine besylate 13.86mg
 (eq. to Amlodipine base 10mg)
  "
,Telmisartan 40mg
,Telmisartan 80mg
,"Sterile water for injection
  "
,"Sterile water for injection
  "
,Oxycodone 10 mg/ml
,Deferasirox 90mg
,Deferasirox 180mg
,Deferasirox 360mg
,Eribulin Mesylate 0.5mg/2ml eq. to Eribulin 0.44mg/ml
,"Cholecalciferol (vitamin D3)
 2000 IU ( eq. to 0.05 mg)
  "
,"Cholecalciferol (vitamin D3)
 5000 IU (eq. to 0.125 mg)
  "
,"Cholecalciferol (vitamin D3)
 10000 IU (eq. to 0.250 mg)
  "
,"Cholecalciferol (vitamin D3)
 50000 IU (eq. to 1.25 mg)
  "
,Meloxicam 15mg
,Palonosetron 500 mcg
,"Prednisolone metasulfobenzoate
 sodium 7.86 mg eq. to Prednisolone
 5mg  "
,"Prednisolone metasulfobenzoate
 sodium 31.44 mg eq. to Prednisolone
 20 mg  "
,Clopidogrel 75mg
,Insulin Lispro200 u/ml
,Rosuvastatin 20 mg
,"Hydrochlorothiazide 25mg
 Valsartan160mg  "
,"Hydrochlorothiazide12.5mg
  Valsartan160mg  "
,"Valsartan 80mg  Hydrochlorothiazide12.5mg
  "
,Rosuvastatin 10 mg
,Indapamide 1.5 mg
,"loteprednol etabonate 0.5%
  "
,"Montelukast Sodium IHS4.15
 mg equivalent to 4 mg Montelukast
  "
,"Montelukast Sodium IHS5.188
 mg equivalent to 5 mg Montelukast
  "
,"Montelukast Sodium IHS 10.4
 mg equivalent to 10 mg Montelukast
  "
,"Clopidogrel Bisulfate75mg
  "
,"Phospholipids 27 mg/ml  Surfactant
 Associated Proteins B & C500
 mcg/ml  "
,"Phospholipids 27 mg/ml  Surfactant
 Associated Proteins B & C500
 mcg/ml  "
,"Montelukast (as Montelukast
 sodium) 10mg  "
,"Esomeprazole (as Esomeprazole
 Magnesium)20 mg  "
,"Esomeprazole (as Esomeprazole
 Magnesium)20 mg  "
,"Esomeprazole (as Esomeprazole
 Magnesium)40 MG   "
,"Esomeprazole (as Esomeprazole
 Magnesium)40 MG   "
,"200mg ribociclib200mg ribociclib
  "
,200mg ribociclib200mg
,200mg ribociclib200mg
,Clarithromycin 500 mg
,Ocrelizumab300 mg/10 ml
,Olanzapine5mg
,Olanzapine10mg
,"Empagliflozin + Metformin
 HCL Empagliflozin 5 mg  +
 Metformin HCL 850 mg   "
,"Empagliflozin + Metformin
 HCL Empagliflozin 5 mg  +
 Metformin HCL 1000 mg   "
,"Empagliflozin + Metformin
 HCL Empagliflozin 12.5 mg
  + Metformin HCL 850 mg
  "
,"Empagliflozin + Metformin
 HCL Empagliflozin 12.5 mg
  + Metformin HCL 1000 mg
   "
,Levetiracetam 100 mg/ml
,Levetiracetam500 mg
,Levetiracetam 1000 mg
,"Osimertinib mesylate a40mg
   "
,"Osimertinib (as mesylate)80
 MG  "
,"Levofloxacin hemihydrate500
 mg  "
,"Anastrozole USP1 mg Anastrozole
 USP  "
,"Bicalutamide USP 50mg 	  "
,"Memantine Hydrochloride10
 mg  "
,Olanzapine USP5 mg
,Olanzapine10 MG
,Olanzapine USP15 mg
,Olanzapine USP20 mg
,"Mycophenolate Mofetil USP250
 mg  "
,"Mycophenolate Mofetil USP500
 mg  "
,"Pregabalin 75 mg  75 mg
 "
,Pregabalin 75 mg 75 mg
,"Ceftaroline fosamil 600 mg
  "
,"Pregabalin 300 mg Pregabalin
 300 mg hard capsule  "
,"Pregabalin 150 mg 150 mg
 "
,"Insulin Glargine100U /ML
 "
,"ApremilastApremilast 10mg
 - Apremilast 20mg - Apremilast
 30mg  "
,"Apremilast 30mgApremilast
 30mg  "
,"Tofacitinib11mg  Tofacitinib
 citrate 17.77mg eq. to Tofacitinib
 11mg "
,"Magnesium Sulfate heptahydrate10%
 w/v Magnesium Sulfate  as
 heptahydrate "
,"Magnesium Sulfate heptahydrate10%
 w/v Magnesium Sulfate as
 heptahydrate "
,"150 mg alectinib (as 161.3
 mg alectinib hydrochloride).150
 mg /Capsule 150 mg alectinib
 (as 161.3 mg alectinib hydrochloride).
 "
,"50mg Elbasvir and 100mg Grazoprevir50mg/100mg
  "
,Sildenafil Citrate50 mg
,"Sildenafil Citrate 100 mg
  "
,Amlodipine besilate5 mg
,Mepolizumab100mg
,"Amlodipine Besilate10 mg
 "
,Etodolac 600 mg
,"Valsartan80 mg  Hydrochlorothiazide12.5
 mg  "
,"Valsartan160 mg  Hydrochlorothiazide12.5
 mg  "
,"Valsartan/ 160 mg  Hydrochlorothiazide25
 mg  "
,"Lidocaine Hydrochloride1%
 w/v Lidocaine Hydrochloride
 Monohydrate Equivalent to
 Lidocaine Hydrochloride Anhydrous
 "
,"Lidocaine Hydrochloride1%
 w/v Lidocaine Hydrochloride
 Monohydrate Equivalent to
 Lidocaine Hydrochloride Anhydrous"
,"Lidocaine Hydrochloride2%
 w/v Lidocaine Hydrochloride
 Monohydrate Equivalent to
 Lidocaine Hydrochloride Anhydrous "
,"Lidocaine Hydrochloride2%
 w/v Lidocaine Hydrochloride
 Monohydrate Equivalent to
 Lidocaine Hydrochloride Anhydrous "
,"Lidocaine Hydrochloride2%
 w/v Lidocaine Hydrochloride
 Monohydrate Equivalent to
 Lidocaine Hydrochloride Anhydrous"
,"Lidocaine Hydrochloride2%
 w/v Lidocaine Hydrochloride
 Monohydrate Equivalent to
 Lidocaine Hydrochloride Anhydrous"
,"Soduim Alginate 225 mg   Magnesium
 Alginate87.5 mg   "
,Hydrocortisone Acetate 1 %
,"Levofloxacin (as levofloxacin
 hemihydrate) 750 mg  "
,"Iron (as carboxy maltose) 50
 mg  Each 1 ml contain 180
 mg iron carboxy maltose equivalent
 to  50 mg Iron "
,"Hydrochlorothiazide12.5 mg
  Valsartan80 mg  "
,"Valsartan160 MG   Hydrochlorothiazide12.5
 MG  "
,"Valsartan 160 mg  Hydrochlorothiazide25
 mg   "
,Entecavir0.5mg
,Tadalafil 20mg
,"Human Thrombin2.0 IU/cm2
 human Fibrinogen 5.5 mg/cm2
  "
,"Solifenacin Succinate 5 mg
   "
,"Solifenacin Succinate10 mg
   "
,"Human Papillomavirus 9-valent
 vaccine recombinant0.5ml
  "
,"Ceftolozane1gm as Ceftolozane
 Sulfate 1.147gm Tazobactam0.5gm
 as Tazobactam Sodium 0.537gm
 "
,Somatropin5.3 mg
,Somatropin12 mg
,Baricitinib2 mg
,Baricitinib4 mg
,Pancreatin 400mg400mg
,"Ciprofloxacin500 mg Ciprofloxacin
 HCl USP 582 mg eq. to Ciprofloxacin
 500 mg "
,"Ranibizumab1.65mg / PFS (10mg/ml)
  "
,Montelukast Sodium5 mg
,Montelukast Sodium10 mg
,"Pancreatin 300 mg 300 mg /
 capsule   "
,GLICLAZIDE30mg
,Orlistat120mg
,"Magnesium Sulfate heptahydrate20%
 w/v Magnesium Sulfate as
 heptahydrate "
,Lacosamide10mg/ml
,Tadalafil5 mg
,Tadalafil20 mg
,Tadalafil20 mg
,Tadalafil10 mg
,Tadalafil10 mg
,"Cholecalciferol __(Vitamin
 D3)_7.5 mg (300.00IU/ml)
 _  "
,"ESOMEPRAZOLE MAGNESIUM 40
 MG40 mg  "
,"Esomeprazole Magnesium 40
 mg  "
,Montelukast sodium10 mg
,Ibuprofen100mg/5ml
,Ibuprofen 100 mg / 5 ml
,"FUROSEMIDE40 MG FOR TABLETS
    "
,"Ustekinumab130 mg/26 ml (5
 mg/ml)  "
,Pregabalin 25 mg 25 mg
,Pregabalin 75 mg 75 mg
,Pregabalin75 mg 75 mg
,Pregabalin150 mg 150 mg
,Pregabalin300 mg 300 mg
,Dexpanthenol 5%
,"Magnesium Sulfate50% w/v Magnesium
 Sulfate as heptahydrate "
,"Magnesium Sulfate50% w/v Magnesium
 Sulfate as heptahydrate "
,"Magnesium Sulfate50% w/v Magnesium
 Sulfate as heptahydrate "
,"Moxifloxacin (as HCL) 400
 mg  Moxifloxacin HCL 436.8
 equivalent to 400 mg moxifloxacin
 "
,"Phenylephrine Hydrochloride
 USP2.5%  "
,"Memantine Hydrochloride 10
 mg Memantine Hydrochloride
 10 mg equivalent to 8.31
 mg memantine. "
,Alemtuzumab12 mg
,"Cefpodoxime Proxetil100 MG
  "
,"Cefpodoxime Proxetil200mg
  "
,Cefdinir 125 mg/ 5 ml
,Cefdinir 125mg/5 ml
,"Amiodarone Hydrochloride200mg
  "
," Canakinumab 150 mg Canakinumab
 per 1 ml  "
,Brivaracetam10 mg/mL
,Brivaracetam 10 mg/ml
,Mannitol20% w/v NA
,Mannitol20% w/v NA
,Warfarin Sodium USP 92 %1 mg
,Warfarin Sodium USP 92 %2 mg
,Warfarin Sodium USP 92 %5 mg
,Paracetamol 500 mg
,"Each 2.5mL respule contains:

Salbutamol Sulfate BP equivalent
 to Salbutamol 2.5mg/2.5mL
 in a normal saline q.s.
    "
,Rabeprazole Sodium20 mg
,"Besifloxacin  6.06 mg/ml0.6%
 Besifloxacin  6.663 mg/ml
 eq. to Besifloxacin base
 6.06 mg/ml "
,"Calcium Saccharate (as tetrahydrate)APPROXIMATELY
 3.6% Each 1000 ml, Calcium
 Saccharate Tetrahydrate 4.6
 g Equivalent to Calcium Saccharate
 Anhydrous 3.6 g Calcium Gluconate
 (as monohydrate)APPROXIMATELY
 9.4% Each 1000 ml contains
 Calcium Gluconate Monohydrate
 98.0 g eq. to 94.0 g Calcium
 Gluconate Anhydrous "
,"Calcium Gluconate monohydrate
 10% w/v Each 1000 ml contains
 Calcium Gluconate Monohydrate
 98.0 g eq. to 94.0 g Calcium
 Gluconate Anhydrous Calcium
 Saccharate Tetrahydrate approximately
 0.46% Calcium Saccharate
 Tetrahydrate 4.6 g Equivalent
 to Calcium Saccharate Anhydrous
 3.6 g "
,"Cefdinir 300 mg300 mg / Capsule
  "
,"Lidocaine Hydrochloride1%
 w/v Lidocaine Hydrochloride
 Monohydrate Equivalent to
 Lidocaine Hydrochloride Anhydrous
 "
,"Vortioxetine20mg Vortioxetine
 HBr 25.42mg eq. to Vortioxetine
 20mg "
,Desogestrel0.075mg
,"Paracetamol Eur Ph.1 g / 100
 ml   "
,25 mg midostaurin25 mg
,"Moxifloxacin HCl436.80 mg
  400 mg  "
,"Pseudoephedrine Hcl60mg/5ml
  Loratadine  5mg /5ml  "
,"Amoxicillin Trihydrate (compacted)875mg
 anhydrous amoxicillin Clavulanate
 Potassium125mg Clavulanic
 Acid  "
,"Amoxicillin Trihydrate (compacted)500mg
 anhydrous amoxicillin Clavulanate
 Potassium125mg Clavulanic
 Acid "
,"Lixisenatide33 mcg/mL   Insulin
 Glargine 100 units/mL   "
,"Insulin Glargine 100 units/mL
  Lixisenatide50 mcg/mL  "
,Prednisolone5mg/ tablet
,Sevoflurane 100%
,Furosemide 20mg/2ml
,Irbesartan150mg
,Sodium Bicarbonate 8.4% w/v
,Sodium Bicarbonate 8.4% w/v
,Sodium Bicarbonate 8.4% w/v
,"Vortioxetine10mg Vortioxetine
 HBr 12.71mg eq. to Vortioxetine
 10mg "
,"Sodium Bicarbonate4.2% w/v
 NA "
,"Atropine Sulfate0.5mg/mL NA
 "
,"Atropine Sulfate0.6mg/mL
 "
,"Dextrose Monohydrate  eq.
 to Glucose Anhydrous 20%
 w/v Each 1000 ml contain
 Dextrose Monohydrate 200
 gm eq. to Glucose Anhydrous
 181.82gm  "
,"Glucose Anhydrous Equivalent
 to Dextrose Monohydrate 25%
 w/v Glucose Anhydrous Equivalent
 to Dextrose Monohydrate
 "
,"Glucose Anhydrous Equivalent
 to Dextrose Monohydrate25%
 w/v  Glucose Anhydrous Equivalent
 to Dextrose Monohydrate "
,"Dextrose Monohydrate 400mg
 eq. to Glucose Anhydrous
 363.64mg40% w/v Dextrose
 Monohydrate equivalent to
 Glucose Anhydrous "
,"Sodium Chloride 10% w/v
 "
,Daratumumab20 mg/ ml
,"Daratumumab400mg/20ml (20mg/ml)
  "
,"Levofloxacin (as hemihydrate)0.5
 % w/v  Levofloxacin (as hemihydrate)
 "
,Mannitol10% w/v NA
,"Salmeterol (as Salmeterol
 Xinofoate)Salmeterol Xinofoate
 36.32 mcg / actuation 36.32
 mcg of Salmeterol xinafoate
 is equivalent to 25 mcg of
 Salmeterol  Fluticasone propionate
  50 mcg / actuation  "
